epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.187,1.12393,2.10988,1.3129,0.32451,0.56593,0.42268,0.2819,1.16955,2.74659,1.32866,0.000368229,0.000368229,0.000368229
2,40.3743,1.20508,1.9454,1.36362,0.51667,0.38312,0.32759,0.19761,1.37609,2.80378,1.50641,0.00071419,0.00071419,0.00071419
3,58.2394,1.29431,2.00958,1.41444,0.56482,0.34115,0.37177,0.2339,1.32158,2.19789,1.46829,0.00103571,0.00103571,0.00103571
4,77.2848,1.34121,2.01202,1.44625,0.30192,0.355,0.31046,0.17651,1.51354,2.38808,1.59139,0.00100101,0.00100101,0.00100101
5,95.1099,1.30448,1.9197,1.43966,0.53611,0.2721,0.38938,0.24869,1.36899,2.27771,1.54525,0.000964348,0.000964348,0.000964348
6,113.317,1.30489,1.84575,1.41531,0.53274,0.44564,0.4541,0.31011,1.3096,2.08276,1.47351,0.000927685,0.000927685,0.000927685
7,131.932,1.24313,1.75598,1.39463,0.66177,0.3911,0.48995,0.32795,1.27583,1.78045,1.44993,0.000891022,0.000891022,0.000891022
8,150.215,1.18874,1.64689,1.35037,0.6522,0.39749,0.46308,0.30963,1.29444,1.89866,1.45276,0.000854359,0.000854359,0.000854359
9,169.383,1.15433,1.68685,1.34031,0.53467,0.45737,0.45758,0.32434,1.25737,1.91262,1.42363,0.000817696,0.000817696,0.000817696
10,187.492,1.16259,1.5495,1.33179,0.72707,0.41023,0.51886,0.3622,1.22182,1.69186,1.39447,0.000781033,0.000781033,0.000781033
11,206.831,1.11792,1.48984,1.30285,0.65893,0.48255,0.51444,0.3725,1.21875,1.65021,1.37949,0.00074437,0.00074437,0.00074437
12,224.982,1.10188,1.44431,1.30408,0.56451,0.46735,0.49378,0.34183,1.2959,1.7034,1.45034,0.000707707,0.000707707,0.000707707
13,243.803,1.07086,1.38871,1.2744,0.61661,0.50375,0.5075,0.34235,1.18996,1.728,1.35573,0.000671044,0.000671044,0.000671044
14,262.468,1.0468,1.28604,1.25713,0.64444,0.51138,0.54143,0.37684,1.19898,1.56202,1.37316,0.000634381,0.000634381,0.000634381
15,280.632,1.01214,1.24548,1.2383,0.66957,0.50094,0.52866,0.37366,1.17241,1.62563,1.34009,0.000597718,0.000597718,0.000597718
16,299.794,1.01649,1.25068,1.25101,0.5667,0.46848,0.50239,0.3649,1.12454,1.67265,1.30963,0.000561055,0.000561055,0.000561055
17,317.872,0.98997,1.22497,1.21947,0.63373,0.56566,0.57396,0.42282,1.1543,1.55453,1.31908,0.000524392,0.000524392,0.000524392
18,337.229,0.94812,1.14219,1.20009,0.57372,0.53437,0.56262,0.4084,1.20571,1.51747,1.36672,0.000487729,0.000487729,0.000487729
19,355.539,0.94793,1.11009,1.20092,0.63731,0.5768,0.60272,0.42938,1.19187,1.36373,1.40923,0.000451066,0.000451066,0.000451066
20,374.774,0.93087,1.04702,1.19168,0.66992,0.54739,0.59689,0.43607,1.14821,1.39661,1.34638,0.000414403,0.000414403,0.000414403
21,393.473,0.82291,0.88518,1.11295,0.61951,0.5995,0.57874,0.41205,1.14217,1.4134,1.37498,0.00037774,0.00037774,0.00037774
22,411.54,0.78542,0.81486,1.10997,0.65297,0.54974,0.59144,0.43098,1.14579,1.49344,1.38285,0.000341077,0.000341077,0.000341077
23,429.98,0.77871,0.76995,1.08523,0.63057,0.50403,0.55567,0.39403,1.16392,1.58371,1.3887,0.000304414,0.000304414,0.000304414
24,447.678,0.73519,0.71113,1.06982,0.61836,0.56421,0.55011,0.39871,1.10482,1.54816,1.34485,0.000267751,0.000267751,0.000267751
25,466.071,0.72487,0.63872,1.06154,0.69075,0.52527,0.56954,0.41859,1.12516,1.5345,1.34854,0.000231088,0.000231088,0.000231088
26,483.413,0.69333,0.58799,1.04402,0.65239,0.51896,0.53205,0.39774,1.10755,1.61829,1.32993,0.000194425,0.000194425,0.000194425
27,501.114,0.68949,0.58364,1.05005,0.65645,0.55155,0.57957,0.43364,1.08573,1.48424,1.31572,0.000157762,0.000157762,0.000157762
28,519.301,0.64812,0.53397,1.02471,0.61319,0.57839,0.57627,0.4342,1.06833,1.44929,1.30497,0.000121099,0.000121099,0.000121099
29,536.744,0.62698,0.50862,1.01213,0.62757,0.55405,0.57335,0.4382,1.07672,1.50226,1.31558,8.4436e-05,8.4436e-05,8.4436e-05
30,555.621,0.61585,0.49472,0.99819,0.64746,0.52384,0.57689,0.43774,1.06325,1.52472,1.30557,4.7773e-05,4.7773e-05,4.7773e-05
